id_produto,nome_produto,categoria,preco
67,Roteador 306,Eletrônicos,142.42
68,Desktop 947,Eletrônicos,405.59
69,Desktop 232,Informática,713.99
70,Processador 965,Eletrônicos,310.11
71,Placa de Vídeo 206,Eletrônicos,545.89
72,Placa de Vídeo 149,Informática,639.06
73,Mouse 360,Informática,523.08
74,Processador 659,Eletrônicos,291.71
75,Processador 269,Eletrônicos,182.97
76,Mouse 190,Eletrônicos,417.89
77,Notebook 778,Eletrônicos,121.08
78,Processador 245,Eletrônicos,113.26
79,Impressora 370,Eletrônicos,752.22
80,Impressora 162,Eletrônicos,351.33
81,Roteador 906,Eletrônicos,393.41
82,Monitor 649,Eletrônicos,677.23
83,Teclado 944,Informática,138.42
84,Monitor 438,Informática,559.9
85,Mouse 489,Eletrônicos,589.04
86,Processador 393,Eletrônicos,196.68
87,Notebook 494,Informática,769.88
88,Roteador 113,Informática,547.32
89,Placa de Vídeo 958,Informática,465.76
90,Desktop 853,Informática,222.02
91,Teclado 643,Informática,692.74
92,Roteador 552,Eletrônicos,804.74
93,Desktop 749,Informática,363.64
94,SSD 655,Informática,356.99
95,Desktop 658,Informática,692.79
96,Teclado 827,Informática,233.13
97,SSD 105,Informática,957.95
98,Placa de Vídeo 143,Informática,622.64
99,Monitor 646,Informática,380.84
100,Mouse 170,Eletrônicos,700.61
101,Desktop 201,Eletrônicos,840.14
102,Teclado 148,Eletrônicos,764.25
103,Teclado 603,Informática,384.78
104,Notebook 768,Eletrônicos,581.02
105,Processador 202,Eletrônicos,600.63
106,Mouse 106,Informática,342.64
107,Placa de Vídeo 234,Informática,462.73
108,Impressora 784,Eletrônicos,435.98
109,Processador 170,Informática,874.27
110,SSD 125,Eletrônicos,364.38
111,Desktop 435,Informática,738.93
112,Teclado 976,Eletrônicos,53.91
113,Processador 179,Informática,345.85
114,Teclado 108,Informática,153.33
115,Roteador 740,Informática,894.59
116,Impressora 223,Eletrônicos,862.77
117,Processador 814,Informática,550.75
118,Impressora 539,Eletrônicos,534.08
119,Placa de Vídeo 559,Eletrônicos,154.54
120,Roteador 618,Eletrônicos,194.42
121,Teclado 577,Informática,549.1
122,Teclado 670,Informática,199.24
123,Notebook 420,Eletrônicos,152.16
124,Placa de Vídeo 566,Informática,690.65
125,Impressora 934,Eletrônicos,338.39
126,Teclado 957,Eletrônicos,471.01
127,Impressora 606,Eletrônicos,612.03
128,Roteador 342,Informática,626.91
129,Processador 589,Eletrônicos,882.59
130,Desktop 922,Eletrônicos,78.23
131,Mouse 541,Eletrônicos,399.56
132,Desktop 410,Eletrônicos,845.77
133,Placa de Vídeo 801,Informática,793.93
134,Teclado 919,Eletrônicos,55.91
135,SSD 753,Eletrônicos,235.96
136,Desktop 510,Informática,186.9
137,Notebook 302,Informática,133.49
138,SSD 393,Informática,831.26
139,Teclado 277,Informática,197.29
140,Monitor 520,Informática,372.52
141,Notebook 325,Eletrônicos,114.41
142,Mouse 417,Eletrônicos,417.54
143,Desktop 420,Eletrônicos,993.07
144,Mouse 889,Eletrônicos,574.77
145,Mouse 706,Eletrônicos,84.07
146,Notebook 958,Eletrônicos,586.32
147,Teclado 192,Eletrônicos,785.1
148,Placa de Vídeo 239,Eletrônicos,861.74
149,Mouse 742,Informática,369.58
150,Monitor 894,Eletrônicos,517.45
151,SSD 812,Informática,550.7
152,Roteador 657,Informática,177.0
153,Impressora 156,Eletrônicos,845.59
154,Teclado 523,Informática,310.54
155,Processador 537,Informática,188.91
156,Processador 980,Eletrônicos,63.17
157,SSD 351,Eletrônicos,770.01
158,Monitor 499,Informática,237.39
159,Roteador 495,Eletrônicos,790.67
160,Notebook 966,Eletrônicos,274.48
161,Impressora 351,Eletrônicos,445.32
162,Roteador 779,Informática,540.75
163,Desktop 864,Informática,139.26
164,Teclado 915,Informática,142.76
165,Processador 830,Informática,960.8
166,Placa de Vídeo 776,Eletrônicos,888.78
167,Mouse 288,Informática,524.76
168,Impressora 558,Informática,556.52
169,SSD 193,Informática,56.03
170,Placa de Vídeo 799,Eletrônicos,216.59
171,Mouse 409,Eletrônicos,927.5
172,Monitor 850,Informática,290.08
173,Placa de Vídeo 526,Informática,423.2
174,Desktop 469,Informática,921.75
175,Notebook 541,Informática,337.28
176,Desktop 832,Eletrônicos,209.71
177,Mouse 736,Informática,422.13
178,Impressora 177,Informática,516.92
179,Teclado 438,Eletrônicos,458.33
180,Teclado 728,Eletrônicos,381.56
181,Monitor 962,Informática,899.57
182,Placa de Vídeo 513,Eletrônicos,456.2
183,Mouse 103,Informática,259.98
184,Notebook 264,Informática,262.99
185,Notebook 493,Eletrônicos,259.5
186,Monitor 373,Informática,86.35
187,Teclado 353,Informática,851.42
188,Placa de Vídeo 491,Informática,792.69
189,Impressora 784,Informática,391.32
190,Desktop 552,Eletrônicos,812.84
191,Teclado 578,Informática,669.7
192,Impressora 603,Informática,271.22
193,Desktop 928,Eletrônicos,960.98
194,Placa de Vídeo 531,Informática,859.23
195,Roteador 462,Eletrônicos,660.48
196,SSD 726,Eletrônicos,702.38
197,Roteador 543,Informática,971.03
198,Notebook 494,Informática,111.91
199,Teclado 460,Eletrônicos,522.93
200,SSD 921,Informática,334.57
201,Placa de Vídeo 948,Informática,468.53
202,Monitor 860,Eletrônicos,961.28
203,Monitor 214,Eletrônicos,597.11
204,Desktop 498,Informática,719.21
205,Processador 668,Informática,827.87
206,Impressora 549,Informática,96.19
207,Mouse 354,Eletrônicos,168.84
208,Desktop 399,Informática,440.17
209,Notebook 888,Eletrônicos,929.09
210,Impressora 350,Informática,386.43
211,Desktop 936,Eletrônicos,408.2
212,Teclado 622,Informática,671.93
213,Placa de Vídeo 939,Informática,656.15
214,Mouse 487,Informática,827.91
215,Notebook 999,Informática,403.36
216,Monitor 763,Eletrônicos,985.14
217,Roteador 785,Eletrônicos,568.4
218,Impressora 436,Informática,305.78
219,Teclado 252,Eletrônicos,803.29
220,Notebook 393,Eletrônicos,778.54
221,Placa de Vídeo 346,Informática,427.14
222,Impressora 301,Eletrônicos,72.17
223,Notebook 484,Informática,844.66
224,Impressora 998,Informática,773.97
225,Impressora 953,Eletrônicos,208.39
226,Mouse 397,Eletrônicos,378.17
227,Teclado 455,Eletrônicos,509.32
228,Placa de Vídeo 301,Eletrônicos,741.04
229,Notebook 206,Eletrônicos,681.03
230,Teclado 119,Informática,988.9
231,Roteador 564,Informática,878.9
232,Placa de Vídeo 843,Eletrônicos,582.13
233,SSD 706,Informática,568.93
234,Mouse 600,Informática,584.25
235,Placa de Vídeo 591,Eletrônicos,986.08
236,Mouse 362,Informática,242.15
237,Placa de Vídeo 136,Eletrônicos,204.77
238,Impressora 196,Informática,734.22
239,Desktop 103,Informática,406.08
240,Placa de Vídeo 333,Informática,921.62
241,Placa de Vídeo 592,Eletrônicos,122.79
242,Desktop 468,Informática,230.25
243,Processador 882,Informática,727.79
244,Notebook 184,Eletrônicos,73.91
245,SSD 717,Informática,377.19
246,Processador 639,Informática,149.65
247,Teclado 476,Informática,242.99
248,Processador 530,Informática,69.91
249,Desktop 981,Informática,249.82
250,Monitor 294,Informática,923.1
251,Impressora 588,Informática,375.31
252,Placa de Vídeo 335,Eletrônicos,221.97
253,Impressora 121,Informática,612.74
254,SSD 551,Informática,924.26
255,SSD 236,Eletrônicos,907.41
256,Impressora 616,Informática,721.4
257,Desktop 760,Eletrônicos,862.23
258,Placa de Vídeo 762,Eletrônicos,601.03
259,SSD 704,Eletrônicos,847.98
260,Impressora 206,Eletrônicos,882.71
261,Monitor 860,Informática,439.59
262,SSD 915,Informática,589.09
263,Processador 768,Informática,780.08
264,Teclado 335,Informática,949.4
265,Roteador 863,Informática,589.24
266,Placa de Vídeo 710,Informática,978.72
267,Impressora 239,Eletrônicos,993.33
268,Teclado 852,Informática,904.32
269,Teclado 220,Eletrônicos,174.9
270,Notebook 182,Eletrônicos,629.68
271,Mouse 167,Informática,190.25
272,Impressora 628,Eletrônicos,675.14
273,Notebook 170,Informática,109.81
274,Placa de Vídeo 841,Eletrônicos,448.21
275,Desktop 852,Eletrônicos,728.69
276,Placa de Vídeo 956,Eletrônicos,332.91
277,Mouse 539,Eletrônicos,768.39
278,Desktop 123,Eletrônicos,299.04
279,Placa de Vídeo 402,Informática,388.02
280,Desktop 919,Eletrônicos,238.36
281,Placa de Vídeo 613,Eletrônicos,272.08
282,Roteador 889,Eletrônicos,394.5
283,Teclado 561,Eletrônicos,463.78
284,Mouse 244,Eletrônicos,315.67
285,Teclado 126,Informática,572.77
286,Notebook 975,Eletrônicos,65.29
287,SSD 254,Informática,505.05
288,Impressora 130,Eletrônicos,421.43
289,Teclado 439,Informática,787.34
290,Mouse 297,Eletrônicos,590.54
291,Impressora 429,Informática,163.28
292,Mouse 692,Eletrônicos,581.07
293,Roteador 383,Eletrônicos,291.4
294,Roteador 896,Informática,632.04
295,Placa de Vídeo 959,Eletrônicos,523.35
296,Impressora 630,Informática,219.03
297,Teclado 118,Eletrônicos,664.13
298,Desktop 309,Informática,615.53
299,Processador 316,Informática,346.24
300,Desktop 362,Eletrônicos,662.97
301,Roteador 132,Informática,846.66
302,Placa de Vídeo 566,Eletrônicos,985.69
303,Placa de Vídeo 491,Informática,548.62
304,Teclado 765,Eletrônicos,278.53
305,Impressora 578,Eletrônicos,136.42
306,Desktop 134,Informática,240.57
307,Monitor 319,Informática,687.4
308,Impressora 643,Eletrônicos,889.73
309,Impressora 432,Eletrônicos,791.51
310,Roteador 948,Informática,807.24
311,Mouse 687,Eletrônicos,485.26
312,SSD 832,Eletrônicos,414.97
313,Teclado 471,Eletrônicos,663.83
314,Impressora 925,Informática,294.92
315,Processador 632,Eletrônicos,408.59
316,Teclado 890,Informática,661.75
317,Mouse 748,Eletrônicos,920.4
318,SSD 302,Informática,577.56
319,Teclado 333,Eletrônicos,363.04
320,SSD 493,Informática,281.47
321,Notebook 720,Informática,644.32
322,Monitor 306,Informática,360.79
323,Teclado 487,Informática,728.67
324,Mouse 802,Informática,354.45
325,Processador 714,Informática,326.65
326,Placa de Vídeo 738,Informática,61.2
327,Impressora 405,Eletrônicos,582.51
328,Teclado 763,Eletrônicos,319.65
329,Teclado 723,Informática,920.95
330,Roteador 740,Informática,390.07
331,Roteador 516,Eletrônicos,586.8
332,Impressora 676,Informática,925.83
333,Mouse 616,Informática,932.13
334,Desktop 455,Eletrônicos,341.09
335,Desktop 815,Informática,743.31
336,Impressora 767,Eletrônicos,828.31
337,Teclado 218,Informática,791.65
338,Desktop 937,Eletrônicos,812.96
339,SSD 996,Eletrônicos,357.66
340,Processador 307,Eletrônicos,371.52
341,Placa de Vídeo 816,Eletrônicos,593.99
342,Monitor 628,Eletrônicos,580.67
343,Mouse 421,Informática,467.87
344,Impressora 153,Informática,537.56
345,SSD 102,Informática,565.78
346,Impressora 537,Eletrônicos,72.55
347,Roteador 285,Eletrônicos,91.06
348,Placa de Vídeo 659,Eletrônicos,593.21
349,Teclado 496,Eletrônicos,467.22
350,Notebook 281,Informática,179.63
351,Impressora 853,Eletrônicos,364.24
352,Teclado 926,Eletrônicos,641.18
353,Impressora 489,Informática,461.54
354,Processador 503,Eletrônicos,486.68
355,Processador 610,Eletrônicos,348.89
356,SSD 748,Informática,648.73
357,Teclado 722,Eletrônicos,515.8
358,Roteador 968,Informática,816.28
359,Desktop 261,Informática,732.09
360,Notebook 816,Informática,313.39
361,Placa de Vídeo 721,Informática,834.17
362,Desktop 652,Eletrônicos,655.9
363,Notebook 398,Informática,745.35
364,SSD 936,Informática,362.92
365,Teclado 681,Eletrônicos,73.66
366,Roteador 382,Eletrônicos,495.44
367,Impressora 666,Eletrônicos,252.44
368,Mouse 449,Eletrônicos,81.19
369,Desktop 738,Eletrônicos,423.25
370,Mouse 407,Informática,628.89
371,Placa de Vídeo 521,Eletrônicos,145.53
372,Processador 936,Eletrônicos,721.68
373,Impressora 953,Informática,428.12
374,Desktop 747,Informática,550.2
375,Impressora 280,Informática,449.38
376,Roteador 336,Informática,790.06
377,Processador 636,Eletrônicos,262.08
378,Placa de Vídeo 918,Informática,889.58
379,Placa de Vídeo 174,Eletrônicos,528.59
380,Teclado 366,Informática,478.6
381,Placa de Vídeo 745,Informática,344.95
382,SSD 310,Eletrônicos,962.34
383,Impressora 421,Informática,906.37
384,Roteador 231,Eletrônicos,222.65
385,Impressora 804,Eletrônicos,56.53
386,Placa de Vídeo 111,Informática,250.34
387,Notebook 767,Informática,830.02
388,Desktop 424,Informática,656.83
389,Monitor 631,Eletrônicos,571.74
390,Mouse 908,Informática,676.84
391,Notebook 879,Informática,712.73
392,Desktop 598,Informática,349.66
393,Monitor 465,Eletrônicos,172.33
394,Placa de Vídeo 699,Informática,826.49
395,Impressora 606,Eletrônicos,92.2
396,Roteador 446,Eletrônicos,977.45
397,Roteador 592,Informática,991.39
398,Notebook 651,Informática,425.74
399,Mouse 677,Eletrônicos,251.97
400,Desktop 766,Eletrônicos,926.86
401,Monitor 758,Informática,461.26
402,Mouse 425,Eletrônicos,394.92
403,Desktop 271,Eletrônicos,955.88
404,Impressora 967,Informática,940.7
405,Monitor 432,Eletrônicos,106.62
406,Teclado 720,Informática,899.69
407,Mouse 420,Eletrônicos,791.8
408,SSD 274,Informática,765.63
409,Monitor 641,Eletrônicos,713.27
410,Desktop 844,Eletrônicos,182.54
411,Placa de Vídeo 324,Eletrônicos,816.34
412,Monitor 688,Informática,650.95
413,Teclado 894,Informática,492.2
414,Placa de Vídeo 582,Informática,426.16
415,SSD 519,Eletrônicos,553.81
416,Mouse 772,Informática,889.72
417,Notebook 823,Eletrônicos,974.53
418,Roteador 705,Eletrônicos,423.19
419,Mouse 897,Informática,99.65
420,Roteador 857,Informática,972.06
421,Teclado 927,Eletrônicos,432.82
422,Monitor 923,Informática,897.15
423,Mouse 852,Eletrônicos,299.52
424,Impressora 111,Informática,269.87
425,Processador 947,Informática,59.58
426,Placa de Vídeo 735,Eletrônicos,557.52
427,Processador 376,Eletrônicos,320.28
428,Desktop 680,Informática,195.92
429,SSD 747,Eletrônicos,653.47
430,Placa de Vídeo 181,Eletrônicos,832.44
431,Processador 535,Eletrônicos,498.72
432,Placa de Vídeo 206,Eletrônicos,600.42
433,Desktop 803,Informática,327.17
434,Teclado 537,Informática,744.12
435,Mouse 161,Eletrônicos,169.55
436,Impressora 483,Informática,817.07
437,Placa de Vídeo 789,Informática,514.78
438,SSD 482,Informática,399.21
439,SSD 741,Eletrônicos,274.64
440,Mouse 236,Informática,941.94
441,Monitor 119,Eletrônicos,829.55
442,Impressora 901,Informática,159.62
443,Notebook 571,Eletrônicos,578.61
444,Notebook 281,Informática,676.89
445,Monitor 968,Informática,256.91
446,Mouse 615,Eletrônicos,456.61
447,Teclado 250,Informática,110.9
448,Monitor 497,Eletrônicos,80.57
449,Processador 305,Informática,93.28
450,Desktop 627,Eletrônicos,606.08
451,Placa de Vídeo 583,Informática,216.21
452,Mouse 791,Informática,67.35
453,Mouse 577,Eletrônicos,70.03
454,Impressora 930,Eletrônicos,259.3
455,Teclado 153,Informática,601.49
456,Processador 291,Informática,190.81
457,Teclado 740,Eletrônicos,910.53
458,Placa de Vídeo 850,Informática,925.94
459,Monitor 758,Eletrônicos,649.02
460,SSD 532,Informática,740.46
461,Roteador 805,Informática,241.18
462,SSD 846,Eletrônicos,993.8
463,Monitor 680,Informática,430.51
464,Roteador 397,Eletrônicos,466.9
465,SSD 468,Eletrônicos,322.85
466,Desktop 518,Informática,760.76
467,Roteador 876,Informática,680.19
468,Notebook 655,Eletrônicos,638.16
469,SSD 256,Eletrônicos,323.84
470,Teclado 849,Eletrônicos,688.52
471,Desktop 301,Eletrônicos,624.28
472,Placa de Vídeo 781,Informática,447.76
473,Notebook 433,Eletrônicos,68.94
474,Desktop 654,Eletrônicos,871.4
475,Roteador 536,Eletrônicos,124.34
476,Processador 658,Informática,474.27
477,SSD 965,Informática,725.13
478,Teclado 580,Informática,82.8
479,Desktop 275,Eletrônicos,709.96
480,Mouse 542,Informática,442.47
481,Impressora 197,Informática,83.41
482,Desktop 585,Informática,100.09
483,Placa de Vídeo 411,Eletrônicos,872.66
484,Teclado 688,Eletrônicos,598.23
485,Teclado 447,Informática,986.33
486,Monitor 840,Informática,660.78
487,Teclado 331,Eletrônicos,290.22
488,Mouse 767,Eletrônicos,263.65
489,SSD 488,Eletrônicos,885.47
490,Roteador 106,Informática,434.91
491,SSD 885,Informática,186.77
492,Processador 450,Eletrônicos,399.83
493,Roteador 536,Informática,77.37
494,Processador 591,Eletrônicos,397.4
495,Monitor 676,Eletrônicos,137.87
496,Impressora 384,Informática,807.11
497,Desktop 254,Informática,476.89
498,Mouse 367,Informática,545.83
499,Processador 588,Informática,973.6
500,Processador 673,Informática,174.04
501,Desktop 680,Eletrônicos,849.42
502,Placa de Vídeo 658,Informática,362.22
503,Placa de Vídeo 238,Informática,966.65
504,Desktop 509,Informática,215.45
505,Mouse 179,Eletrônicos,290.39
506,Teclado 487,Eletrônicos,895.85
507,Monitor 653,Informática,89.19
508,Notebook 306,Informática,251.13
509,Monitor 373,Eletrônicos,117.48
510,Monitor 317,Eletrônicos,54.82
511,Mouse 293,Informática,429.07
512,Mouse 356,Eletrônicos,168.38
513,Placa de Vídeo 977,Informática,828.29
514,Monitor 129,Eletrônicos,295.55
515,Impressora 898,Eletrônicos,149.59
516,Impressora 611,Eletrônicos,979.64
517,Impressora 194,Eletrônicos,221.58
518,Monitor 597,Eletrônicos,92.44
519,SSD 763,Informática,514.89
520,Processador 432,Eletrônicos,146.1
521,Mouse 562,Eletrônicos,161.92
522,Processador 902,Informática,828.98
523,Teclado 864,Informática,753.29
524,Mouse 417,Eletrônicos,116.28
525,Desktop 540,Eletrônicos,198.85
526,Roteador 206,Eletrônicos,889.16
527,Notebook 772,Informática,90.03
528,Processador 166,Eletrônicos,177.79
529,Roteador 651,Eletrônicos,922.54
530,Roteador 343,Informática,72.54
531,Impressora 476,Eletrônicos,985.7
532,Monitor 349,Informática,536.58
533,Impressora 928,Eletrônicos,959.48
534,Teclado 761,Informática,617.36
535,Notebook 998,Eletrônicos,958.11
536,Mouse 333,Informática,836.06
537,Impressora 497,Informática,229.03
538,Desktop 220,Informática,856.02
539,Monitor 542,Eletrônicos,166.99
540,Roteador 695,Eletrônicos,521.9
541,Mouse 436,Eletrônicos,937.27
542,Impressora 980,Eletrônicos,184.17
543,Processador 978,Informática,702.53
544,Roteador 570,Eletrônicos,197.15
545,Impressora 656,Informática,328.49
546,Placa de Vídeo 555,Informática,855.73
547,Notebook 771,Eletrônicos,979.32
548,Monitor 940,Eletrônicos,190.8
549,SSD 454,Informática,577.49
550,Desktop 205,Eletrônicos,654.59
551,Mouse 692,Eletrônicos,647.31
552,Impressora 666,Informática,433.65
553,Roteador 881,Informática,423.63
554,Mouse 872,Informática,143.14
555,Processador 976,Informática,924.26
556,Notebook 292,Eletrônicos,184.04
557,SSD 245,Informática,734.96
558,Teclado 533,Informática,410.15
559,Processador 428,Eletrônicos,971.16
560,Desktop 330,Eletrônicos,342.79
561,Processador 439,Eletrônicos,808.63
562,Desktop 437,Eletrônicos,586.8
563,Roteador 915,Informática,785.54
564,Mouse 889,Eletrônicos,323.5
565,Placa de Vídeo 877,Informática,882.47
566,Mouse 994,Informática,826.9
567,Impressora 337,Eletrônicos,908.51
568,Placa de Vídeo 249,Informática,315.69
569,Placa de Vídeo 493,Eletrônicos,404.35
570,Desktop 571,Eletrônicos,508.37
571,Monitor 872,Eletrônicos,444.1
572,Teclado 660,Eletrônicos,224.88
573,Mouse 794,Eletrônicos,549.53
574,SSD 381,Informática,104.24
575,Teclado 575,Eletrônicos,398.07
576,Desktop 774,Eletrônicos,418.76
577,Placa de Vídeo 717,Eletrônicos,320.75
578,Roteador 551,Informática,413.84
579,Impressora 348,Informática,260.0
580,Impressora 931,Eletrônicos,430.6
581,Placa de Vídeo 143,Informática,785.0
582,Teclado 623,Eletrônicos,132.47
583,Impressora 370,Informática,844.75
584,Processador 847,Eletrônicos,332.27
585,Processador 374,Informática,103.95
586,Placa de Vídeo 143,Informática,188.96
587,Monitor 358,Informática,876.48
588,Impressora 713,Eletrônicos,824.33
589,Monitor 740,Informática,563.5
590,Impressora 129,Eletrônicos,57.32
591,Processador 231,Eletrônicos,613.74
592,Placa de Vídeo 701,Informática,382.71
593,Roteador 790,Informática,127.29
594,Placa de Vídeo 977,Eletrônicos,688.61
595,Teclado 813,Eletrônicos,868.77
596,Placa de Vídeo 625,Informática,95.41
597,Desktop 877,Informática,889.07
598,Placa de Vídeo 278,Eletrônicos,793.96
599,Monitor 329,Informática,938.96
600,SSD 149,Eletrônicos,475.57
601,SSD 308,Informática,760.38
602,Processador 363,Informática,182.95
603,Monitor 200,Eletrônicos,448.17
604,Monitor 950,Eletrônicos,119.18
605,Processador 169,Eletrônicos,954.64
606,Placa de Vídeo 370,Informática,639.36
607,Desktop 564,Eletrônicos,814.13
608,Mouse 121,Eletrônicos,266.65
609,Mouse 511,Informática,432.74
610,Teclado 344,Eletrônicos,280.36
611,Monitor 615,Eletrônicos,530.91
612,Placa de Vídeo 327,Informática,937.54
613,Placa de Vídeo 922,Informática,195.78
614,Teclado 687,Informática,149.8
615,Placa de Vídeo 436,Eletrônicos,186.79
616,Monitor 711,Eletrônicos,699.81
617,Notebook 527,Eletrônicos,709.33
618,Desktop 999,Informática,937.85
619,Mouse 257,Informática,124.6
620,Mouse 121,Informática,949.23
621,Placa de Vídeo 287,Eletrônicos,583.69
622,Monitor 557,Informática,208.04
623,Notebook 461,Informática,341.87
624,SSD 226,Eletrônicos,137.56
625,Roteador 294,Informática,527.97
626,SSD 449,Eletrônicos,136.37
627,Monitor 870,Eletrônicos,848.23
628,SSD 360,Informática,731.91
629,Notebook 497,Eletrônicos,936.75
630,Desktop 780,Informática,760.91
631,Impressora 165,Eletrônicos,414.54
632,Monitor 892,Informática,171.51
633,Teclado 806,Eletrônicos,427.18
634,Teclado 989,Eletrônicos,298.61
635,Processador 540,Eletrônicos,492.54
636,Mouse 410,Eletrônicos,592.18
637,Placa de Vídeo 398,Informática,639.5
638,Roteador 337,Informática,224.61
639,Monitor 892,Informática,69.41
640,Roteador 685,Eletrônicos,210.29
641,Desktop 935,Informática,806.51
642,Notebook 117,Informática,796.43
643,Monitor 325,Informática,97.17
644,Processador 749,Eletrônicos,963.82
645,Notebook 305,Eletrônicos,911.07
646,Processador 364,Eletrônicos,381.31
647,Monitor 758,Informática,863.81
648,Processador 350,Informática,97.73
649,Processador 496,Eletrônicos,547.01
650,Desktop 349,Eletrônicos,321.61
651,Monitor 464,Informática,941.46
652,Impressora 400,Eletrônicos,867.63
653,Notebook 200,Eletrônicos,306.35
654,Mouse 989,Informática,231.78
655,Notebook 298,Eletrônicos,255.34
656,Teclado 169,Eletrônicos,416.03
657,Mouse 159,Eletrônicos,820.83
658,SSD 260,Eletrônicos,102.35
659,Placa de Vídeo 960,Eletrônicos,588.67
660,Desktop 781,Eletrônicos,474.1
661,SSD 833,Informática,608.18
662,Processador 436,Eletrônicos,475.85
663,Impressora 922,Informática,648.54
664,Processador 238,Eletrônicos,632.59
665,Roteador 286,Informática,205.44
666,Teclado 813,Informática,56.62
667,Placa de Vídeo 493,Eletrônicos,213.73
668,Impressora 295,Eletrônicos,206.91
669,Mouse 855,Informática,556.18
670,Processador 779,Eletrônicos,198.98
671,Desktop 104,Eletrônicos,670.74
672,Desktop 663,Eletrônicos,356.86
673,Monitor 693,Eletrônicos,65.62
674,SSD 488,Eletrônicos,502.75
675,Processador 329,Informática,87.01
676,Notebook 373,Informática,608.77
677,Roteador 304,Informática,991.6
678,Mouse 534,Informática,626.3
679,Desktop 847,Eletrônicos,769.71
680,Desktop 608,Eletrônicos,526.22
681,Processador 775,Informática,782.65
682,Notebook 526,Eletrônicos,959.24
683,Placa de Vídeo 322,Informática,917.04
684,Mouse 326,Informática,193.98
685,Processador 429,Informática,296.48
686,Placa de Vídeo 615,Informática,207.81
687,SSD 869,Informática,883.33
688,Processador 806,Informática,973.48
689,Placa de Vídeo 916,Eletrônicos,416.54
690,Desktop 383,Informática,592.82
691,Monitor 993,Informática,939.0
692,Monitor 336,Eletrônicos,740.47
693,Processador 545,Eletrônicos,620.12
694,Processador 244,Informática,374.57
695,Teclado 826,Eletrônicos,917.55
696,Processador 132,Eletrônicos,324.35
697,Monitor 422,Informática,164.11
698,Notebook 455,Informática,608.32
699,Placa de Vídeo 545,Eletrônicos,364.29
700,Monitor 131,Eletrônicos,84.6
701,Desktop 318,Informática,106.78
702,Processador 813,Eletrônicos,93.47
703,SSD 401,Informática,505.42
704,Placa de Vídeo 543,Eletrônicos,391.34
705,Impressora 257,Eletrônicos,345.98
706,Mouse 561,Informática,420.99
707,Mouse 451,Eletrônicos,618.51
708,Processador 226,Eletrônicos,320.86
709,Notebook 122,Eletrônicos,204.74
710,Monitor 715,Informática,138.58
711,Notebook 403,Eletrônicos,782.14
712,Impressora 663,Informática,175.16
713,Impressora 213,Informática,973.61
714,SSD 836,Informática,469.23
715,Processador 828,Eletrônicos,877.59
716,Roteador 460,Eletrônicos,273.32
717,Placa de Vídeo 844,Eletrônicos,594.36
718,Monitor 117,Informática,152.0
719,Teclado 112,Eletrônicos,173.57
