id_venda,id_cliente,id_produto,id_vendedor,valor_venda
138,217,18785,4942,864.92
139,9087,6167,7970,483.05
140,10418,8640,4183,525.25
141,2514,19291,17605,763.06
142,15894,3169,2345,774.88
143,9316,7302,18992,631.35
144,4317,18693,6694,166.69
145,13298,498,9404,819.39
146,6803,5974,15923,153.95
147,7859,15488,6277,922.79
148,3000,16914,6560,980.85
149,4816,13375,14006,646.27
150,15150,9676,12054,680.39
151,18409,7739,8569,572.69
152,4397,6901,13013,569.08
153,5801,17693,18145,768.11
154,11348,4825,12534,657.72
155,6649,7495,19067,547.41
156,6287,17256,10263,413.26
157,8798,8458,7440,453.85
158,9535,10860,8517,713.91
159,7773,5082,18846,695.13
160,1184,16956,7671,628.7
161,12594,19826,11972,166.61
162,14702,1225,17376,754.75
163,4498,7346,1122,801.44
164,4693,7273,7056,316.05
165,6000,5598,1316,888.98
166,2098,18293,18135,139.82
167,2536,10693,16927,243.0
168,19233,17583,7704,357.25
169,5416,2042,16450,57.85
170,14885,14094,18076,188.11
171,10482,9804,4648,926.41
172,6622,1735,4787,83.59
173,13026,1319,12699,365.98
174,12824,15248,19846,328.18
175,340,6723,12548,878.12
176,19807,11759,2549,348.31
177,14212,9069,8743,442.56
178,4515,9409,14924,381.71
179,5323,12709,15049,525.14
180,2171,17560,11506,783.0
181,17529,12413,9447,216.32
182,6660,7188,15544,263.23
183,7650,8396,17739,372.23
184,1054,1818,2983,780.41
185,16163,4674,5255,574.88
186,11811,19563,2891,979.18
187,1814,17840,1882,880.95
188,11010,8333,3465,147.41
189,1574,4576,2052,342.0
190,9891,9182,19636,495.53
191,7016,16147,2446,874.94
192,1027,17744,10013,604.74
193,1212,14417,16658,367.62
194,10969,10222,5480,647.1
195,19770,13583,6293,211.61
196,3391,14158,5460,952.28
197,6716,9359,16352,193.21
198,11178,11390,11722,539.82
199,10578,17937,15719,742.23
200,8394,9667,17484,237.35
201,3635,19838,9566,880.46
202,5033,1636,4458,695.75
203,15739,10330,16447,233.02
204,9069,18096,7860,511.11
205,7628,8411,9607,415.21
206,8667,4520,10447,521.13
207,12837,4230,8099,198.69
208,102,2904,1071,510.05
209,5013,18765,11500,851.19
210,7494,12701,10859,389.1
211,4534,19720,5784,431.27
212,4018,16924,18429,965.83
213,7349,13807,7121,163.95
214,5620,2935,13182,782.87
215,1006,7450,16983,57.93
216,16713,3055,15315,393.26
217,5889,11512,936,491.05
218,15719,16512,13753,431.98
219,4325,4590,7776,421.28
220,11971,14485,1878,135.56
221,19365,15231,16287,213.81
222,16695,14002,8078,430.36
223,5053,17663,17135,915.35
224,1984,14317,5905,244.26
225,4357,3795,13077,229.39
226,3263,14766,1474,465.82
227,7497,5762,10194,936.83
228,8704,17267,14381,408.49
229,8247,11313,17861,993.52
230,11879,9875,11819,399.67
231,794,17787,8514,313.15
232,13216,8712,3151,885.06
233,15282,3163,19669,956.15
234,17710,13466,1335,664.02
235,8083,5154,15673,221.19
236,14052,4268,15117,523.52
237,11074,10646,14412,89.8
238,3723,5868,4888,682.43
239,618,10850,12958,984.1
240,2558,13279,5530,268.42
241,1514,2881,2424,865.7
242,5356,2460,12046,565.05
243,16304,15197,3059,683.56
244,13994,5519,418,877.7
245,6932,16,19596,973.74
246,420,6042,19505,603.26
247,6652,13546,8199,280.88
248,12849,14958,18841,328.65
249,10233,15887,12112,549.77
250,19210,12811,314,964.6
251,4857,11769,4139,271.17
252,6377,8407,532,674.49
253,10876,18039,6170,856.61
254,12174,15958,8501,795.6
255,14102,10398,3207,453.34
256,16874,43,2478,731.68
257,11789,3855,9062,88.63
258,76,13747,16351,589.21
259,7217,14205,19010,245.24
260,4213,2521,19773,380.52
261,15556,19476,15394,789.71
262,74,11801,1236,467.87
263,17349,4385,17027,130.2
264,19803,6860,5400,624.63
265,6715,5915,2236,101.4
266,9365,586,11745,470.75
267,6148,2349,10098,796.37
268,4258,16388,3475,823.12
269,8891,10303,4941,970.53
270,17617,18213,16682,577.05
271,17113,15643,18848,846.5
272,16639,15660,19474,193.67
273,13585,12387,2371,870.95
274,8121,9300,18143,837.78
275,11968,12200,2904,650.67
276,5721,7967,279,523.94
277,19200,2267,2731,234.04
278,3545,19695,11890,502.3
279,12687,12784,726,141.42
280,11790,19055,6363,961.77
281,9010,7245,5288,837.48
282,17483,12288,19656,631.89
283,15674,5621,16626,244.18
284,14636,17500,17072,495.5
285,12540,18666,17044,317.85
286,8975,9180,11528,898.28
287,8765,13253,17135,612.46
288,16002,10225,4172,779.49
289,18005,10697,7431,958.32
290,17592,473,1922,116.77
291,7341,17519,5123,105.06
292,5688,1377,4395,982.05
293,13893,1422,2771,71.63
294,3480,15502,16454,293.84
295,2193,680,12571,459.47
296,3223,6145,16593,949.47
297,10600,11249,10975,937.39
298,14066,19804,11946,778.39
299,850,2610,12827,73.32
300,10878,17405,11075,881.02
301,16982,5395,14689,995.03
302,5012,2094,15660,195.56
303,11678,9197,9321,885.89
304,11975,7962,2465,409.41
305,1707,8717,13369,459.52
306,17889,11132,3620,99.05
307,15198,13367,3548,590.95
308,15264,3498,1588,547.92
309,16791,15243,18176,378.64
310,4718,16134,13867,356.5
311,9174,12237,19220,939.64
312,3889,7190,7675,360.45
313,10454,6932,14643,660.76
314,10130,12363,6396,192.49
315,17108,5685,1657,409.46
316,7107,3069,2548,666.84
317,11219,10295,15028,912.04
318,4980,10021,16318,380.02
319,13351,18056,1771,70.39
320,10396,10625,14091,834.24
321,17532,1407,9559,921.16
322,3877,16726,1705,853.3
323,8949,1371,5703,630.63
324,12326,1015,14518,949.12
325,4285,14742,6541,899.37
326,15634,3778,8441,940.28
327,14390,9532,11531,809.63
328,3905,12569,13740,156.3
329,6511,711,4742,391.22
330,1110,19496,12544,141.45
331,17567,18506,17049,644.84
332,18641,2787,3150,785.9
333,14925,4607,18071,790.93
334,2321,336,3979,834.13
335,8471,6875,4629,231.85
336,8316,11143,19996,797.44
337,16133,3476,7080,321.22
338,2558,16424,5495,51.71
339,8940,18738,14572,564.4
340,3242,10813,3403,884.07
341,6256,14657,429,258.69
342,2026,574,55,975.46
343,5613,1175,18790,423.97
344,9046,3957,11194,785.3
345,1817,9787,9042,223.67
346,6787,5255,2664,639.04
347,11781,19299,18009,802.16
348,8428,2470,17180,376.03
349,2193,7155,8036,452.46
350,13712,12262,1373,390.67
351,16755,8875,2610,351.21
352,14838,2066,17584,335.19
353,4237,1423,13218,501.62
354,7758,12932,15197,116.96
355,1419,6030,4927,868.07
356,15438,15409,14403,996.47
357,4726,4491,1469,318.23
358,1248,13782,9025,612.0
359,4282,4445,8895,832.28
360,1224,472,15201,665.6
361,9668,11804,635,657.38
362,5818,18224,13387,691.06
363,7166,1310,18536,496.75
364,764,16513,19129,326.49
365,13590,2057,18460,688.46
366,15307,6790,1976,382.08
367,11929,16078,2517,117.18
368,19373,17670,19290,99.94
369,7186,2723,12617,519.37
370,5323,7034,7966,410.61
371,3209,9412,17025,802.08
372,5180,6841,6038,808.44
373,8155,9683,6208,701.63
374,5339,5010,5143,309.4
375,15939,5621,3818,217.67
376,8786,9763,13312,120.7
377,19720,5264,4181,536.18
378,9169,5719,17228,232.72
379,6007,12271,5066,549.95
380,2891,3236,606,525.5
381,1937,19319,11104,905.29
382,10405,18562,17781,516.47
383,18739,15546,11476,858.43
384,11639,13757,9042,471.22
385,12374,9295,958,709.03
386,10770,19742,15208,950.7
387,7470,10709,3455,213.25
388,7524,12476,2016,857.89
389,10974,2937,7494,91.08
390,7767,4323,18471,722.8
391,18635,15812,18690,567.5
392,6852,2517,14469,123.77
393,4580,2518,8749,471.49
394,19578,9398,10819,894.75
395,14165,8637,8754,980.46
396,7456,3421,9938,95.44
397,7711,15190,1249,951.05
398,6398,8109,5730,404.6
399,15367,9158,15411,638.62
400,8680,12130,13940,570.53
401,14468,6575,7787,861.42
402,12910,1299,5614,895.56
403,15048,1582,12758,501.27
404,13635,15175,13920,969.38
405,4210,4363,12634,239.81
406,1817,8034,13801,241.96
407,6786,4735,7503,790.27
408,18946,9603,8994,951.19
409,17740,17077,4904,396.29
410,11256,8485,2241,339.23
411,3398,7683,12406,756.82
412,11287,10460,1613,841.78
413,12130,2189,3410,214.99
414,18392,14113,15556,711.24
415,17457,10133,15366,225.21
416,19265,5764,14058,587.64
417,15610,19064,9209,327.72
418,2398,19563,2346,644.33
419,12679,15648,18107,735.07
420,18062,4923,13072,901.9
421,17309,10832,4982,337.48
422,644,17402,95,85.69
423,13660,5433,8670,459.07
424,9174,6459,8588,801.58
425,18381,6428,14693,611.44
426,19024,15395,6858,61.46
427,10194,14538,5110,808.93
428,10271,353,18616,298.22
429,19583,16412,11716,77.25
430,2869,2365,3431,811.86
431,2308,7039,13777,567.11
432,17988,13267,18311,567.33
433,11402,18346,3849,786.41
434,6580,13570,18587,714.15
435,17977,5395,1933,242.62
436,15342,11890,16304,333.01
437,102,17961,7825,896.76
438,16454,15976,5442,334.08
439,19402,2409,4957,571.47
440,17709,3002,2198,803.45
441,18,19281,8031,55.1
442,18745,15935,2307,974.88
443,13616,19674,568,186.15
444,17207,10846,14289,159.83
445,15119,12639,15505,600.76
446,18186,12041,16307,752.23
447,12755,16147,4813,370.48
448,8139,15396,9783,108.62
449,13300,6359,9558,937.24
450,19946,10211,16796,226.22
451,4672,8701,5926,611.07
452,8813,13331,4978,813.02
453,8251,11739,14977,471.46
454,185,14286,3486,739.79
455,9434,9561,2912,198.57
456,5792,13992,2473,521.49
457,7089,12984,17312,844.78
458,16820,2014,14621,457.84
459,18423,5394,2102,632.03
460,18274,15984,11028,327.19
461,19283,14533,14797,551.37
462,7807,7095,2463,640.48
463,12739,13538,2829,133.85
464,15092,3508,11397,50.08
465,6215,3848,100,111.22
466,16418,13161,17634,922.31
467,7786,18232,5225,385.21
468,16829,14130,7518,205.93
469,14738,8051,2540,982.79
470,16364,4425,4909,849.61
471,17488,3956,14120,299.22
472,1994,7831,3576,634.13
473,185,13331,15360,557.71
474,5844,5254,13366,409.61
475,11054,2275,19080,741.0
476,3278,5823,4124,969.02
477,6860,13745,2723,143.36
478,17225,17977,6890,259.2
479,16189,16490,9999,744.23
480,10799,3604,10114,634.25
481,17415,6530,19873,226.75
482,7345,1353,17842,839.64
483,19830,17323,5173,774.14
484,5855,13777,5577,958.07
485,7974,15466,3687,391.36
486,11924,12140,14520,343.82
487,18408,11799,14313,529.92
488,3423,12962,5449,942.76
489,3658,13998,7658,448.6
490,646,10398,4283,330.14
491,11050,14493,18574,861.72
492,7482,19810,3822,407.18
493,1782,6025,6953,101.31
494,12713,5442,7266,52.28
495,17789,9717,3761,900.02
496,17966,8836,10165,449.02
497,11137,19519,10677,931.05
498,15480,5325,13377,192.28
499,13334,18761,18,343.49
500,14621,3046,2843,246.56
501,17641,4197,10836,79.5
502,3489,15290,7916,941.42
503,18464,16103,2193,609.0
504,9938,3514,4301,613.09
505,4840,17926,10125,498.69
506,14520,15348,8262,246.31
507,4806,11524,19430,594.28
508,8843,19007,11567,297.0
509,1933,10148,19197,812.44
510,18516,5723,6234,541.26
511,15355,17957,14598,194.21
512,9535,13563,17292,119.16
513,8837,10158,14998,725.27
514,18548,15802,3054,815.0
515,3062,10200,27,729.58
516,16611,2916,3568,927.31
517,14767,19746,4399,745.46
518,13688,3336,13343,829.8
519,2955,948,535,436.06
520,7351,15653,13479,702.57
521,14814,4773,4757,840.29
522,5759,5336,5051,596.11
523,10483,6618,18673,860.09
524,13559,9827,12215,432.25
525,14827,1325,854,757.48
526,12785,17628,6693,364.95
527,4858,14123,7216,339.3
528,1130,3397,16975,700.7
529,18089,15252,17575,319.57
530,7113,13417,1521,784.65
531,13089,5515,17946,353.21
532,19336,14211,7661,149.2
533,18697,9929,15829,793.97
534,16941,14726,17928,426.75
535,1670,6594,9576,355.18
536,16923,14961,4379,347.11
537,493,5058,5817,408.71
538,11663,3210,11957,940.78
539,15572,8075,2723,380.7
540,19053,13256,14523,651.28
541,6810,4324,6492,605.33
542,3967,2536,2521,489.48
543,15577,8813,17621,105.68
544,5565,3115,7284,741.41
545,9176,3315,7386,836.76
546,8889,7632,11475,172.47
547,19553,18984,13456,294.82
548,8219,4839,16049,449.75
549,12663,14419,7042,773.73
550,3490,16923,12182,174.88
551,4593,18821,6549,939.69
552,5521,10073,19973,848.83
553,4750,185,7227,602.71
554,17421,398,8970,878.6
555,8292,17176,4091,772.31
556,5755,16266,1059,114.03
557,12342,4136,6949,641.01
558,2782,7235,4310,822.38
559,12570,6712,7177,917.4
560,2153,6894,2501,517.97
561,11928,12054,6056,578.74
562,2044,3608,4524,944.36
563,7428,9797,13552,390.79
564,15004,16616,17261,327.92
565,9380,1577,13793,146.37
566,208,18649,19526,674.72
567,10454,3455,3931,828.6
568,5503,4859,10311,636.99
569,2610,524,16335,243.33
570,6632,1636,16331,619.36
571,3045,7047,17049,481.0
572,5412,17405,9469,540.6
573,3850,3236,150,367.04
574,715,7717,12776,857.82
575,12642,19130,1514,784.17
576,10023,15903,14017,184.54
577,16443,17887,1124,733.51
578,18298,17038,13516,202.45
579,17778,6055,19336,811.05
580,6870,17120,5245,776.44
581,9928,18628,578,249.78
582,14994,7900,2813,938.73
583,19672,12555,17680,167.01
584,10043,931,1545,379.21
585,14451,15315,3476,928.78
586,14965,5347,7923,644.64
587,16743,16968,9671,490.73
588,371,13206,4606,823.02
589,7195,19042,9001,325.24
590,13789,12629,15966,783.08
591,6778,8026,18257,544.51
592,16390,5531,15205,994.63
593,16330,1701,10488,88.08
594,12378,17345,914,735.96
595,7842,198,6737,149.01
596,1303,4577,9606,778.03
597,3338,8003,797,502.29
598,7565,2613,18552,236.99
599,17458,12642,16368,120.22
600,12391,8926,7772,386.22
601,16051,7261,7223,463.85
602,13934,11566,11125,222.54
603,8755,10355,12421,487.69
604,3932,12505,2284,597.96
605,17928,16243,5336,992.67
606,16151,8085,11307,656.08
607,13768,13349,7942,967.28
608,19075,4583,12852,777.55
609,18431,16715,2401,718.78
610,12601,8246,18443,180.12
611,13399,184,4935,287.8
612,7873,9653,8571,475.1
613,8661,1994,11651,268.31
614,10746,10699,7359,983.84
615,11450,13007,2884,394.66
616,882,7166,9247,292.85
617,18759,17508,18167,892.42
618,18930,8310,12251,574.73
619,2064,15852,1311,293.12
620,10516,12663,1952,664.16
621,19613,8121,9764,138.66
622,13192,15529,7409,684.06
623,5325,8801,4398,865.27
624,2871,4819,8128,766.74
625,3814,16821,15014,926.13
626,10113,15396,8340,979.52
627,12448,16425,18126,352.83
628,5803,7551,11700,871.87
629,9703,18089,17537,154.26
630,11228,6824,14023,694.4
631,13166,16740,1462,802.66
632,19976,14731,12032,963.77
633,1652,3745,12380,400.8
634,19291,606,3733,151.57
635,11306,19488,15996,329.05
636,17534,5625,8922,399.01
637,3112,1425,13876,963.32
638,3554,19849,8383,685.27
639,16936,1702,8831,460.07
640,7358,11202,10940,110.12
641,1510,6579,3573,994.35
642,648,2119,6178,663.83
643,3289,9664,2050,838.67
644,2594,16441,16151,604.46
645,9587,16336,6245,293.33
646,5404,3824,4419,235.64
647,12088,5845,12360,838.04
648,17488,4930,15414,539.92
649,16954,16641,5962,823.98
650,9997,17098,10378,108.33
651,6702,15781,1764,879.11
652,12429,4018,19263,523.46
653,12120,15069,10715,464.68
654,14992,15746,17828,772.05
655,14846,13752,3734,784.8
656,13118,17294,15936,254.82
657,15490,18012,15038,197.59
658,12436,1060,8802,540.92
659,7592,4268,13487,223.22
660,14502,5943,18844,699.36
661,16819,13372,1252,992.62
662,17749,15681,3887,854.9
663,1057,8688,14537,646.88
664,15216,13346,18243,839.53
665,7235,2654,5444,969.82
666,19706,16614,5197,747.41
667,7616,1719,15775,94.12
668,4350,5726,1450,956.76
669,9048,9029,6586,228.5
670,37,18301,7037,397.69
671,18963,13791,10680,739.22
672,2698,12193,19183,200.13
673,18741,3786,13427,764.03
674,14842,215,1776,930.31
675,18775,10408,2639,886.44
676,7632,14677,5113,89.94
677,10441,19971,6126,720.37
678,14962,248,17618,348.4
679,8996,851,9314,445.39
680,11498,9399,1658,872.23
681,15897,19352,17110,387.48
682,11012,7135,893,414.59
683,6036,5963,2496,596.28
684,3463,19842,14178,865.77
685,8399,11617,8169,995.03
686,13652,735,6407,549.04
687,12001,10334,16330,84.67
688,8073,19132,6292,617.1
689,19513,15414,15627,193.37
690,4900,13201,14931,845.85
691,5168,2253,15488,318.74
692,3788,1254,3487,391.66
693,5820,7524,14802,480.13
694,2508,4527,11454,697.47
695,16541,502,10933,697.99
696,912,13461,14,591.46
697,16834,1411,14511,556.28
698,17520,7527,16575,642.1
699,4477,13877,16989,598.05
700,5999,9308,16785,355.51
701,8752,1966,11142,900.35
702,12872,3947,14629,303.09
703,13646,15501,13028,806.62
704,6884,18924,10478,461.13
705,8307,16497,7485,235.05
706,13876,6376,11197,961.1
707,3416,12427,8469,479.13
708,6777,10491,15645,367.1
709,578,587,5096,609.06
710,8564,14548,9949,201.98
711,8752,889,18767,933.63
712,1246,9549,16861,953.07
713,6518,7814,13949,491.06
714,4859,1705,12602,269.86
715,14159,258,13967,795.9
716,12319,8591,10745,651.48
717,12970,13683,6431,510.53
718,8709,6371,10835,515.15
719,4957,14255,11401,630.06
720,7168,10398,12859,234.83
721,19024,2979,10740,748.99
722,17910,12489,14013,304.44
723,18986,13126,5053,162.63
724,13289,18324,12569,912.42
725,8360,17309,917,519.46
726,3162,11789,11702,891.23
727,19574,5749,18923,841.69
728,1003,8918,15070,476.69
729,4515,5953,456,434.02
730,6267,18846,3624,482.61
731,4709,1569,17514,330.99
732,8672,6665,7029,239.48
733,3541,7078,18656,487.82
734,2057,10748,4188,434.71
735,13123,2072,6534,779.75
736,18406,2087,12558,107.99
737,13133,7882,9487,754.23
738,3009,3532,3414,143.68
739,3865,5170,12429,796.23
740,11902,16632,14885,406.46
741,9645,19987,3576,808.49
742,18966,6135,11336,326.04
743,3127,6812,4982,987.66
744,2946,15416,10786,639.48
745,15799,36,5460,267.4
746,12868,2670,13977,341.44
747,5299,17301,19700,95.74
748,17806,14151,4350,511.0
749,1179,5220,6130,956.83
750,3075,7774,6993,267.3
751,5127,12045,14159,892.89
752,10642,16953,18712,466.21
753,5375,8373,1041,221.26
754,9154,19825,3282,108.94
755,19354,13134,4880,250.19
756,3317,230,13117,470.4
757,18248,16503,2138,216.68
758,17754,9132,1600,394.46
759,15508,4848,16846,769.49
760,3450,17990,2625,455.16
761,14356,7026,8966,169.66
762,14851,14031,1105,168.34
763,16349,11892,11539,840.48
764,12135,257,7027,444.95
765,9064,9546,8507,297.06
766,1137,5894,9168,808.54
767,13112,7971,10526,260.27
768,5538,1302,18654,703.42
769,14884,7040,9448,336.4
770,5712,2930,14470,752.65
771,11575,14649,17489,197.68
772,14604,17941,5742,844.48
773,11848,597,3944,239.04
774,18567,16985,4410,212.66
775,11665,3001,13183,171.89
776,7019,11827,773,767.43
777,18,123,1539,779.54
778,4875,3612,4812,122.36
779,16969,4290,4103,613.92
780,6434,12701,17754,787.43
781,18802,8950,8332,276.32
782,11082,3738,2500,186.39
783,17782,15357,8935,934.05
784,19119,14940,2097,550.56
785,9353,15572,2607,170.24
786,9626,4852,4314,584.83
787,18139,7349,6714,894.49
788,7095,16384,2753,640.6
789,3848,18046,3650,93.11
790,14067,18572,10697,417.74
791,14925,7241,2215,74.11
792,9281,8044,2719,907.52
793,3920,2806,11329,954.09
794,12028,5527,15198,236.57
795,19307,8293,11591,356.51
796,14463,2913,856,967.1
797,6116,16986,19233,151.41
798,18757,13026,2968,864.35
799,16504,5080,17176,777.89
800,19690,10369,6199,309.52
801,1793,12960,4981,141.14
802,3052,10043,6952,296.33
803,10297,6685,5298,87.18
804,14312,50,6,703.4
805,8602,17667,13892,288.01
806,17128,16571,14702,95.79
807,19369,1780,256,253.46
808,407,18774,7292,60.9
809,17866,3865,4304,808.02
810,10489,9066,16937,496.16
811,19377,16770,4538,355.73
812,18075,4667,3708,936.48
813,9611,7105,5622,902.14
814,12266,7338,4183,776.4
815,17168,10858,19611,202.67
816,16076,8223,1841,57.47
817,966,19809,9210,88.1
818,14142,3702,7427,660.59
819,2109,5799,17753,760.18
820,15126,10913,6706,981.08
821,16758,8547,1210,459.05
822,7854,17906,19749,104.62
823,10142,9041,13336,470.42
824,9669,3311,279,235.47
825,7974,17790,4681,320.54
826,8949,18995,1939,722.44
827,12784,18548,2352,689.96
828,15244,435,11626,554.72
829,6403,8398,12615,539.81
830,2834,9629,7856,283.91
831,11171,10987,7983,369.12
832,4595,14301,7608,473.29
833,17418,18311,14499,608.64
834,18109,2978,5645,240.7
835,12068,8720,795,201.54
836,7917,16711,12973,450.37
837,510,1349,15993,541.74
838,17112,13813,12732,291.03
839,13098,6022,19943,642.94
840,9965,17031,10682,751.66
841,3881,19433,4653,61.46
842,12496,9007,4784,368.2
843,9370,16229,7459,510.17
844,14804,9522,2587,929.08
845,3460,19334,5310,832.95
846,255,7617,5445,581.33
847,17042,4743,2320,669.07
848,1205,11677,2114,467.63
849,11331,2212,529,445.07
850,15381,15230,13319,955.41
851,7877,2226,1263,996.46
852,4876,9624,18892,95.38
853,14605,16502,1265,791.8
854,2610,12676,9046,588.47
855,18910,15055,2163,154.09
856,12562,5797,7403,50.15
857,8340,9046,7958,566.08
858,11099,3061,7885,148.95
859,10199,4342,7423,375.41
860,13667,1339,6064,448.0
861,19051,3444,12789,973.14
862,8237,16893,678,132.81
863,6243,8110,17999,615.96
864,13822,3692,14473,945.71
865,18170,10972,13502,492.38
866,7499,19202,16389,575.7
867,797,5835,16201,583.38
868,19968,8584,121,771.74
869,14826,8051,2493,275.15
870,15833,1239,3532,690.42
871,14764,19742,11494,797.25
872,7396,11218,12965,654.54
873,2084,1433,15054,951.22
874,19866,18617,17272,839.75
875,990,5634,1137,142.99
876,15092,17072,11387,486.86
877,6746,12758,17235,524.39
878,3499,1030,1746,484.7
879,2643,18384,9529,161.89
880,17249,15745,17425,895.66
881,18549,18242,19522,219.07
882,7113,18543,13667,93.59
883,3963,2426,9648,639.56
884,19217,18224,19862,563.29
885,19808,17055,965,685.86
886,16717,14523,9859,207.78
887,6102,17171,17280,338.95
888,4237,140,4136,815.79
889,6799,15815,9806,69.39
890,4987,1140,15597,677.86
891,18327,1718,12768,462.18
892,10757,7443,12990,905.56
893,600,7484,17981,612.21
894,14014,1835,12405,223.05
895,12165,7236,3443,721.52
896,10277,1261,8836,545.63
897,17368,4599,11215,176.41
898,18396,17474,3943,603.84
899,124,125,12760,543.08
900,3764,18959,10940,80.46
901,18504,6334,1902,587.51
902,13628,8757,16905,597.99
903,8398,5632,9255,405.01
904,13265,10029,8230,366.95
905,19410,3242,8534,796.88
906,9574,5751,4004,220.95
907,5395,17098,1766,910.7
908,15435,16567,9523,917.37
909,7627,8696,3547,181.54
910,86,4964,8013,996.16
911,7389,11175,2373,245.16
912,14721,13211,13822,860.46
913,9550,2432,5238,935.32
914,1534,10614,13798,885.2
915,4547,15829,2668,168.13
916,2792,16697,15665,461.14
917,13633,4151,3912,445.71
918,7628,2086,19863,886.66
919,1899,16430,14858,462.4
920,280,5780,16977,127.15
921,16211,2286,9427,421.38
922,3684,1468,1165,503.38
923,16546,13625,250,382.53
924,7883,11658,11643,842.28
925,15909,19693,14227,436.69
926,16163,4620,19170,897.1
927,6217,14510,14892,196.51
928,12314,19163,15573,174.38
929,17639,18580,15836,921.56
930,3456,19823,1321,835.52
931,17655,1681,11746,307.54
932,19877,11314,16908,744.76
933,5805,19754,5252,414.34
934,17715,1411,10509,429.49
935,11782,19628,8597,218.45
936,10327,12284,9056,815.55
937,14367,11557,5973,232.89
938,1437,8290,6026,223.82
