data_id,data,dia_semana,mes,ano
119,2018-11-12,Monday,November,2018
120,2019-02-18,Monday,February,2019
121,2019-10-22,Tuesday,October,2019
122,2020-10-22,Thursday,October,2020
123,2020-02-21,Friday,February,2020
124,2022-06-10,Friday,June,2022
125,2020-03-03,Tuesday,March,2020
126,2020-06-20,Saturday,June,2020
127,2019-10-11,Friday,October,2019
128,2018-10-30,Tuesday,October,2018
129,2021-07-30,Friday,July,2021
130,2022-01-03,Monday,January,2022
131,2019-02-22,Friday,February,2019
132,2022-09-19,Monday,September,2022
133,2022-04-19,Tuesday,April,2022
134,2022-10-07,Friday,October,2022
135,2020-12-15,Tuesday,December,2020
136,2018-11-25,Sunday,November,2018
137,2020-09-12,Saturday,September,2020
138,2018-09-03,Monday,September,2018
139,2021-07-03,Saturday,July,2021
140,2022-03-14,Monday,March,2022
141,2021-09-02,Thursday,September,2021
142,2019-07-30,Tuesday,July,2019
143,2020-11-26,Thursday,November,2020
144,2019-08-24,Saturday,August,2019
145,2023-03-24,Friday,March,2023
146,2019-11-18,Monday,November,2019
147,2022-04-28,Thursday,April,2022
148,2022-10-07,Friday,October,2022
149,2020-11-22,Sunday,November,2020
150,2023-07-11,Tuesday,July,2023
151,2021-04-10,Saturday,April,2021
152,2021-09-03,Friday,September,2021
153,2020-12-16,Wednesday,December,2020
154,2021-12-29,Wednesday,December,2021
155,2021-09-09,Thursday,September,2021
156,2021-05-12,Wednesday,May,2021
157,2018-10-30,Tuesday,October,2018
158,2021-09-04,Saturday,September,2021
159,2020-09-03,Thursday,September,2020
160,2019-06-12,Wednesday,June,2019
161,2019-05-23,Thursday,May,2019
162,2021-09-06,Monday,September,2021
163,2021-06-07,Monday,June,2021
164,2018-10-13,Saturday,October,2018
165,2022-03-25,Friday,March,2022
166,2020-11-16,Monday,November,2020
167,2023-02-05,Sunday,February,2023
168,2018-09-08,Saturday,September,2018
169,2021-11-25,Thursday,November,2021
170,2022-02-02,Wednesday,February,2022
171,2022-01-18,Tuesday,January,2022
172,2023-03-21,Tuesday,March,2023
173,2023-01-13,Friday,January,2023
174,2022-06-28,Tuesday,June,2022
175,2021-06-18,Friday,June,2021
176,2019-06-11,Tuesday,June,2019
177,2023-01-14,Saturday,January,2023
178,2018-09-13,Thursday,September,2018
179,2020-09-12,Saturday,September,2020
180,2022-02-16,Wednesday,February,2022
181,2022-11-14,Monday,November,2022
182,2023-05-02,Tuesday,May,2023
183,2020-04-30,Thursday,April,2020
184,2022-04-25,Monday,April,2022
185,2023-02-16,Thursday,February,2023
186,2023-01-15,Sunday,January,2023
187,2021-01-07,Thursday,January,2021
188,2020-09-18,Friday,September,2020
189,2022-11-05,Saturday,November,2022
190,2020-05-27,Wednesday,May,2020
191,2022-08-28,Sunday,August,2022
192,2021-09-27,Monday,September,2021
193,2020-09-20,Sunday,September,2020
194,2023-01-07,Saturday,January,2023
195,2022-01-17,Monday,January,2022
196,2023-05-29,Monday,May,2023
197,2021-12-18,Saturday,December,2021
198,2020-05-01,Friday,May,2020
199,2021-06-18,Friday,June,2021
200,2022-05-09,Monday,May,2022
201,2021-07-28,Wednesday,July,2021
202,2019-06-22,Saturday,June,2019
203,2019-05-01,Wednesday,May,2019
204,2018-08-25,Saturday,August,2018
205,2019-02-11,Monday,February,2019
206,2023-03-02,Thursday,March,2023
207,2021-12-01,Wednesday,December,2021
208,2022-12-19,Monday,December,2022
209,2022-11-05,Saturday,November,2022
210,2022-06-21,Tuesday,June,2022
211,2023-03-19,Sunday,March,2023
212,2023-01-15,Sunday,January,2023
213,2023-02-25,Saturday,February,2023
214,2022-12-09,Friday,December,2022
215,2020-03-20,Friday,March,2020
216,2022-04-21,Thursday,April,2022
217,2020-01-26,Sunday,January,2020
218,2018-09-02,Sunday,September,2018
219,2019-08-25,Sunday,August,2019
220,2020-03-01,Sunday,March,2020
221,2021-06-26,Saturday,June,2021
222,2021-10-26,Tuesday,October,2021
223,2021-01-25,Monday,January,2021
224,2021-04-14,Wednesday,April,2021
225,2022-03-26,Saturday,March,2022
226,2021-12-19,Sunday,December,2021
227,2022-07-22,Friday,July,2022
228,2023-05-28,Sunday,May,2023
229,2019-06-22,Saturday,June,2019
230,2020-10-24,Saturday,October,2020
231,2022-06-17,Friday,June,2022
232,2021-08-04,Wednesday,August,2021
233,2021-02-13,Saturday,February,2021
234,2020-09-27,Sunday,September,2020
235,2021-07-25,Sunday,July,2021
236,2022-03-27,Sunday,March,2022
237,2021-07-19,Monday,July,2021
238,2023-07-27,Thursday,July,2023
239,2020-04-01,Wednesday,April,2020
240,2021-09-12,Sunday,September,2021
241,2019-06-24,Monday,June,2019
242,2022-04-20,Wednesday,April,2022
243,2020-02-23,Sunday,February,2020
244,2022-04-19,Tuesday,April,2022
245,2023-01-28,Saturday,January,2023
246,2018-12-17,Monday,December,2018
247,2022-08-23,Tuesday,August,2022
248,2023-04-10,Monday,April,2023
249,2021-01-17,Sunday,January,2021
250,2023-03-24,Friday,March,2023
251,2020-09-23,Wednesday,September,2020
252,2018-11-25,Sunday,November,2018
253,2019-03-07,Thursday,March,2019
254,2018-11-06,Tuesday,November,2018
255,2018-11-25,Sunday,November,2018
256,2021-08-31,Tuesday,August,2021
257,2021-12-16,Thursday,December,2021
258,2022-04-03,Sunday,April,2022
259,2022-12-12,Monday,December,2022
260,2023-03-21,Tuesday,March,2023
261,2020-02-09,Sunday,February,2020
262,2020-11-02,Monday,November,2020
263,2020-03-16,Monday,March,2020
264,2022-01-04,Tuesday,January,2022
265,2023-06-07,Wednesday,June,2023
266,2021-10-07,Thursday,October,2021
267,2019-07-19,Friday,July,2019
268,2019-07-03,Wednesday,July,2019
269,2022-06-05,Sunday,June,2022
270,2020-05-09,Saturday,May,2020
271,2023-04-06,Thursday,April,2023
272,2021-11-24,Wednesday,November,2021
273,2020-09-19,Saturday,September,2020
274,2020-07-13,Monday,July,2020
275,2023-03-13,Monday,March,2023
276,2019-08-07,Wednesday,August,2019
277,2020-06-24,Wednesday,June,2020
278,2019-10-11,Friday,October,2019
279,2021-05-19,Wednesday,May,2021
280,2019-10-12,Saturday,October,2019
281,2023-05-05,Friday,May,2023
282,2023-02-12,Sunday,February,2023
283,2020-05-30,Saturday,May,2020
284,2022-05-03,Tuesday,May,2022
285,2020-06-24,Wednesday,June,2020
286,2020-06-15,Monday,June,2020
287,2022-04-27,Wednesday,April,2022
288,2019-11-10,Sunday,November,2019
289,2019-07-16,Tuesday,July,2019
290,2020-02-04,Tuesday,February,2020
291,2020-01-30,Thursday,January,2020
292,2019-06-10,Monday,June,2019
293,2019-07-31,Wednesday,July,2019
294,2022-06-23,Thursday,June,2022
295,2019-07-25,Thursday,July,2019
296,2022-07-16,Saturday,July,2022
297,2022-10-15,Saturday,October,2022
298,2021-02-24,Wednesday,February,2021
299,2022-09-30,Friday,September,2022
300,2021-04-01,Thursday,April,2021
301,2020-04-23,Thursday,April,2020
302,2021-01-23,Saturday,January,2021
303,2023-03-05,Sunday,March,2023
304,2021-01-11,Monday,January,2021
305,2020-11-05,Thursday,November,2020
306,2019-11-16,Saturday,November,2019
307,2021-06-15,Tuesday,June,2021
308,2019-10-16,Wednesday,October,2019
309,2022-07-18,Monday,July,2022
310,2021-12-24,Friday,December,2021
311,2022-03-06,Sunday,March,2022
312,2019-12-17,Tuesday,December,2019
313,2021-10-31,Sunday,October,2021
314,2018-11-01,Thursday,November,2018
315,2019-05-06,Monday,May,2019
316,2018-11-13,Tuesday,November,2018
317,2023-04-07,Friday,April,2023
318,2023-06-10,Saturday,June,2023
319,2020-12-07,Monday,December,2020
320,2022-07-23,Saturday,July,2022
321,2019-09-09,Monday,September,2019
322,2019-07-13,Saturday,July,2019
323,2019-06-28,Friday,June,2019
324,2023-01-21,Saturday,January,2023
325,2022-09-24,Saturday,September,2022
326,2022-12-20,Tuesday,December,2022
327,2022-07-18,Monday,July,2022
328,2022-07-21,Thursday,July,2022
329,2019-07-29,Monday,July,2019
330,2021-10-17,Sunday,October,2021
331,2021-06-26,Saturday,June,2021
332,2018-09-13,Thursday,September,2018
333,2018-11-26,Monday,November,2018
334,2020-04-21,Tuesday,April,2020
335,2019-07-23,Tuesday,July,2019
336,2022-06-18,Saturday,June,2022
337,2019-07-07,Sunday,July,2019
338,2019-03-13,Wednesday,March,2019
339,2019-03-17,Sunday,March,2019
340,2019-09-18,Wednesday,September,2019
341,2022-02-09,Wednesday,February,2022
342,2021-11-17,Wednesday,November,2021
343,2022-10-02,Sunday,October,2022
344,2018-12-26,Wednesday,December,2018
345,2023-04-30,Sunday,April,2023
346,2020-07-25,Saturday,July,2020
347,2020-08-22,Saturday,August,2020
348,2021-05-04,Tuesday,May,2021
349,2022-01-18,Tuesday,January,2022
350,2021-08-07,Saturday,August,2021
351,2021-03-31,Wednesday,March,2021
352,2019-04-29,Monday,April,2019
353,2020-02-10,Monday,February,2020
354,2020-02-02,Sunday,February,2020
355,2020-11-17,Tuesday,November,2020
356,2021-08-05,Thursday,August,2021
357,2022-10-11,Tuesday,October,2022
358,2021-05-31,Monday,May,2021
359,2019-08-31,Saturday,August,2019
360,2020-08-03,Monday,August,2020
361,2020-10-09,Friday,October,2020
362,2021-07-02,Friday,July,2021
363,2019-05-31,Friday,May,2019
364,2022-06-23,Thursday,June,2022
365,2018-10-18,Thursday,October,2018
366,2022-03-30,Wednesday,March,2022
367,2021-03-10,Wednesday,March,2021
368,2019-02-04,Monday,February,2019
369,2019-05-06,Monday,May,2019
370,2023-07-18,Tuesday,July,2023
371,2021-05-27,Thursday,May,2021
372,2022-09-10,Saturday,September,2022
373,2020-07-09,Thursday,July,2020
374,2021-06-26,Saturday,June,2021
375,2023-03-28,Tuesday,March,2023
376,2020-03-23,Monday,March,2020
377,2019-12-15,Sunday,December,2019
378,2021-08-20,Friday,August,2021
379,2022-02-09,Wednesday,February,2022
380,2022-01-03,Monday,January,2022
381,2020-04-01,Wednesday,April,2020
382,2022-03-25,Friday,March,2022
383,2023-01-14,Saturday,January,2023
384,2022-08-19,Friday,August,2022
385,2021-09-01,Wednesday,September,2021
386,2023-01-13,Friday,January,2023
387,2020-12-13,Sunday,December,2020
388,2020-07-15,Wednesday,July,2020
389,2022-02-15,Tuesday,February,2022
390,2023-03-03,Friday,March,2023
391,2022-03-21,Monday,March,2022
392,2021-07-21,Wednesday,July,2021
393,2022-04-19,Tuesday,April,2022
394,2022-04-30,Saturday,April,2022
395,2021-12-26,Sunday,December,2021
396,2019-03-02,Saturday,March,2019
397,2022-03-20,Sunday,March,2022
398,2021-06-19,Saturday,June,2021
399,2019-11-14,Thursday,November,2019
400,2020-11-22,Sunday,November,2020
401,2022-12-23,Friday,December,2022
402,2021-06-01,Tuesday,June,2021
403,2019-04-21,Sunday,April,2019
404,2023-04-09,Sunday,April,2023
405,2023-08-08,Tuesday,August,2023
406,2023-06-09,Friday,June,2023
407,2020-05-17,Sunday,May,2020
408,2020-05-29,Friday,May,2020
409,2023-05-06,Saturday,May,2023
410,2020-06-13,Saturday,June,2020
411,2022-10-24,Monday,October,2022
412,2019-08-08,Thursday,August,2019
413,2019-08-14,Wednesday,August,2019
414,2019-11-12,Tuesday,November,2019
415,2022-11-26,Saturday,November,2022
416,2021-04-14,Wednesday,April,2021
417,2021-10-27,Wednesday,October,2021
418,2019-02-18,Monday,February,2019
419,2021-01-06,Wednesday,January,2021
420,2019-01-11,Friday,January,2019
421,2019-10-17,Thursday,October,2019
422,2022-10-21,Friday,October,2022
423,2020-12-15,Tuesday,December,2020
424,2021-09-13,Monday,September,2021
425,2021-10-18,Monday,October,2021
426,2020-09-26,Saturday,September,2020
427,2019-03-30,Saturday,March,2019
428,2019-02-06,Wednesday,February,2019
429,2023-05-07,Sunday,May,2023
430,2019-12-16,Monday,December,2019
431,2022-08-21,Sunday,August,2022
432,2019-01-07,Monday,January,2019
433,2021-08-05,Thursday,August,2021
434,2021-08-24,Tuesday,August,2021
435,2023-03-18,Saturday,March,2023
436,2019-04-08,Monday,April,2019
437,2019-09-18,Wednesday,September,2019
438,2020-10-31,Saturday,October,2020
439,2023-07-16,Sunday,July,2023
440,2021-02-13,Saturday,February,2021
441,2021-02-04,Thursday,February,2021
442,2023-08-14,Monday,August,2023
443,2020-06-05,Friday,June,2020
444,2022-04-14,Thursday,April,2022
445,2023-08-18,Friday,August,2023
446,2022-10-05,Wednesday,October,2022
447,2018-09-08,Saturday,September,2018
448,2022-03-06,Sunday,March,2022
449,2019-08-02,Friday,August,2019
450,2021-06-29,Tuesday,June,2021
451,2021-08-10,Tuesday,August,2021
452,2019-09-29,Sunday,September,2019
453,2019-03-16,Saturday,March,2019
454,2022-09-15,Thursday,September,2022
455,2020-04-02,Thursday,April,2020
456,2018-09-22,Saturday,September,2018
457,2021-03-19,Friday,March,2021
458,2023-06-02,Friday,June,2023
459,2021-08-26,Thursday,August,2021
460,2020-09-02,Wednesday,September,2020
461,2019-08-25,Sunday,August,2019
462,2020-09-18,Friday,September,2020
463,2020-06-10,Wednesday,June,2020
464,2022-11-05,Saturday,November,2022
465,2018-11-04,Sunday,November,2018
466,2021-02-03,Wednesday,February,2021
467,2021-04-08,Thursday,April,2021
468,2021-11-27,Saturday,November,2021
469,2020-08-24,Monday,August,2020
470,2022-07-08,Friday,July,2022
471,2021-07-26,Monday,July,2021
472,2020-01-02,Thursday,January,2020
473,2019-07-07,Sunday,July,2019
474,2020-04-23,Thursday,April,2020
475,2019-02-14,Thursday,February,2019
476,2019-10-02,Wednesday,October,2019
477,2019-05-02,Thursday,May,2019
478,2021-05-18,Tuesday,May,2021
479,2019-01-06,Sunday,January,2019
480,2019-06-16,Sunday,June,2019
481,2019-09-29,Sunday,September,2019
482,2021-06-30,Wednesday,June,2021
483,2022-02-17,Thursday,February,2022
484,2020-08-30,Sunday,August,2020
485,2022-04-29,Friday,April,2022
486,2019-01-23,Wednesday,January,2019
487,2022-08-17,Wednesday,August,2022
488,2020-11-19,Thursday,November,2020
489,2018-11-27,Tuesday,November,2018
490,2018-12-05,Wednesday,December,2018
491,2020-07-31,Friday,July,2020
492,2022-08-26,Friday,August,2022
493,2019-02-04,Monday,February,2019
494,2019-09-17,Tuesday,September,2019
495,2020-02-09,Sunday,February,2020
496,2023-08-19,Saturday,August,2023
497,2019-04-25,Thursday,April,2019
498,2022-06-18,Saturday,June,2022
499,2020-11-27,Friday,November,2020
500,2020-05-14,Thursday,May,2020
501,2023-05-16,Tuesday,May,2023
502,2021-04-17,Saturday,April,2021
503,2021-11-13,Saturday,November,2021
504,2018-11-02,Friday,November,2018
505,2023-02-24,Friday,February,2023
506,2023-02-25,Saturday,February,2023
507,2023-01-22,Sunday,January,2023
508,2019-12-22,Sunday,December,2019
509,2020-06-11,Thursday,June,2020
510,2021-09-09,Thursday,September,2021
511,2021-11-25,Thursday,November,2021
512,2021-07-31,Saturday,July,2021
513,2020-10-19,Monday,October,2020
514,2021-08-15,Sunday,August,2021
515,2021-05-06,Thursday,May,2021
516,2021-03-26,Friday,March,2021
517,2019-04-09,Tuesday,April,2019
518,2021-04-08,Thursday,April,2021
519,2022-11-03,Thursday,November,2022
520,2023-05-23,Tuesday,May,2023
521,2021-06-08,Tuesday,June,2021
522,2018-11-01,Thursday,November,2018
523,2022-08-18,Thursday,August,2022
524,2022-04-21,Thursday,April,2022
525,2019-04-13,Saturday,April,2019
526,2022-03-14,Monday,March,2022
527,2020-06-12,Friday,June,2020
528,2022-11-20,Sunday,November,2022
529,2020-05-02,Saturday,May,2020
530,2020-05-16,Saturday,May,2020
531,2019-12-27,Friday,December,2019
532,2023-08-10,Thursday,August,2023
533,2019-10-09,Wednesday,October,2019
534,2023-03-10,Friday,March,2023
535,2020-01-21,Tuesday,January,2020
536,2021-06-05,Saturday,June,2021
537,2021-07-07,Wednesday,July,2021
538,2021-09-26,Sunday,September,2021
539,2019-02-11,Monday,February,2019
540,2021-06-08,Tuesday,June,2021
541,2020-05-11,Monday,May,2020
542,2023-06-25,Sunday,June,2023
543,2022-08-09,Tuesday,August,2022
544,2020-11-11,Wednesday,November,2020
545,2021-02-22,Monday,February,2021
546,2019-08-22,Thursday,August,2019
547,2022-09-22,Thursday,September,2022
548,2018-11-10,Saturday,November,2018
549,2022-04-08,Friday,April,2022
550,2021-07-06,Tuesday,July,2021
551,2021-11-22,Monday,November,2021
552,2019-07-19,Friday,July,2019
553,2020-06-23,Tuesday,June,2020
554,2023-03-15,Wednesday,March,2023
555,2023-03-03,Friday,March,2023
556,2019-03-26,Tuesday,March,2019
557,2020-06-18,Thursday,June,2020
558,2023-06-20,Tuesday,June,2023
559,2023-04-08,Saturday,April,2023
560,2022-06-18,Saturday,June,2022
561,2023-05-20,Saturday,May,2023
562,2020-12-27,Sunday,December,2020
563,2018-12-26,Wednesday,December,2018
564,2019-06-07,Friday,June,2019
565,2023-07-09,Sunday,July,2023
566,2023-05-10,Wednesday,May,2023
567,2022-08-03,Wednesday,August,2022
568,2019-06-12,Wednesday,June,2019
569,2020-08-16,Sunday,August,2020
570,2020-08-10,Monday,August,2020
571,2019-07-22,Monday,July,2019
572,2022-07-28,Thursday,July,2022
573,2023-06-22,Thursday,June,2023
574,2022-11-25,Friday,November,2022
575,2019-12-14,Saturday,December,2019
576,2020-05-26,Tuesday,May,2020
577,2023-08-03,Thursday,August,2023
578,2023-04-04,Tuesday,April,2023
579,2018-09-26,Wednesday,September,2018
580,2018-11-11,Sunday,November,2018
581,2020-06-30,Tuesday,June,2020
582,2021-06-19,Saturday,June,2021
583,2022-01-03,Monday,January,2022
584,2019-03-02,Saturday,March,2019
585,2022-04-26,Tuesday,April,2022
586,2020-01-26,Sunday,January,2020
587,2022-08-09,Tuesday,August,2022
588,2022-08-17,Wednesday,August,2022
589,2020-09-07,Monday,September,2020
590,2022-03-27,Sunday,March,2022
591,2022-04-14,Thursday,April,2022
592,2019-05-17,Friday,May,2019
593,2019-11-21,Thursday,November,2019
594,2023-08-08,Tuesday,August,2023
595,2020-06-15,Monday,June,2020
596,2020-01-23,Thursday,January,2020
597,2021-08-12,Thursday,August,2021
598,2021-02-23,Tuesday,February,2021
599,2019-01-26,Saturday,January,2019
600,2022-11-08,Tuesday,November,2022
601,2019-04-04,Thursday,April,2019
602,2022-10-25,Tuesday,October,2022
603,2019-10-16,Wednesday,October,2019
604,2019-01-19,Saturday,January,2019
605,2021-02-28,Sunday,February,2021
606,2019-05-17,Friday,May,2019
607,2021-09-14,Tuesday,September,2021
608,2019-04-17,Wednesday,April,2019
609,2019-12-24,Tuesday,December,2019
610,2019-05-28,Tuesday,May,2019
611,2022-07-22,Friday,July,2022
612,2022-02-23,Wednesday,February,2022
613,2022-03-11,Friday,March,2022
614,2021-11-02,Tuesday,November,2021
615,2021-11-22,Monday,November,2021
616,2019-05-22,Wednesday,May,2019
617,2019-05-28,Tuesday,May,2019
618,2022-02-19,Saturday,February,2022
619,2021-03-31,Wednesday,March,2021
620,2019-01-29,Tuesday,January,2019
621,2022-03-25,Friday,March,2022
622,2023-03-16,Thursday,March,2023
623,2023-01-21,Saturday,January,2023
624,2022-01-09,Sunday,January,2022
625,2022-01-29,Saturday,January,2022
626,2018-09-09,Sunday,September,2018
627,2022-06-09,Thursday,June,2022
628,2019-09-17,Tuesday,September,2019
629,2021-08-16,Monday,August,2021
630,2018-09-20,Thursday,September,2018
631,2020-06-05,Friday,June,2020
632,2022-05-16,Monday,May,2022
633,2023-08-20,Sunday,August,2023
634,2023-06-01,Thursday,June,2023
635,2021-11-21,Sunday,November,2021
636,2020-01-27,Monday,January,2020
637,2020-04-06,Monday,April,2020
638,2020-07-05,Sunday,July,2020
639,2018-10-01,Monday,October,2018
640,2023-05-03,Wednesday,May,2023
641,2023-05-18,Thursday,May,2023
642,2020-10-25,Sunday,October,2020
643,2019-11-08,Friday,November,2019
644,2023-08-07,Monday,August,2023
645,2020-08-07,Friday,August,2020
646,2020-06-20,Saturday,June,2020
647,2023-01-19,Thursday,January,2023
648,2020-08-17,Monday,August,2020
649,2022-03-06,Sunday,March,2022
650,2020-08-16,Sunday,August,2020
651,2022-07-15,Friday,July,2022
652,2022-08-12,Friday,August,2022
653,2020-04-22,Wednesday,April,2020
654,2019-12-14,Saturday,December,2019
655,2023-05-30,Tuesday,May,2023
656,2019-12-22,Sunday,December,2019
657,2021-09-20,Monday,September,2021
658,2023-07-09,Sunday,July,2023
659,2022-02-01,Tuesday,February,2022
660,2021-06-18,Friday,June,2021
661,2023-08-21,Monday,August,2023
662,2019-05-05,Sunday,May,2019
663,2020-03-08,Sunday,March,2020
664,2020-10-25,Sunday,October,2020
665,2022-05-28,Saturday,May,2022
666,2023-05-01,Monday,May,2023
667,2021-06-09,Wednesday,June,2021
668,2018-12-16,Sunday,December,2018
669,2019-09-30,Monday,September,2019
670,2019-09-07,Saturday,September,2019
671,2020-03-11,Wednesday,March,2020
672,2022-09-03,Saturday,September,2022
673,2019-12-14,Saturday,December,2019
674,2018-10-12,Friday,October,2018
675,2018-09-08,Saturday,September,2018
676,2022-10-23,Sunday,October,2022
677,2022-08-28,Sunday,August,2022
678,2019-01-31,Thursday,January,2019
679,2022-05-29,Sunday,May,2022
680,2022-06-14,Tuesday,June,2022
681,2020-09-29,Tuesday,September,2020
682,2021-09-12,Sunday,September,2021
683,2020-03-18,Wednesday,March,2020
684,2020-09-05,Saturday,September,2020
685,2021-05-09,Sunday,May,2021
686,2022-04-01,Friday,April,2022
687,2020-05-13,Wednesday,May,2020
688,2021-12-25,Saturday,December,2021
689,2020-05-21,Thursday,May,2020
690,2019-02-01,Friday,February,2019
691,2022-07-08,Friday,July,2022
692,2021-12-12,Sunday,December,2021
693,2019-09-07,Saturday,September,2019
694,2018-08-27,Monday,August,2018
695,2020-07-18,Saturday,July,2020
696,2022-04-01,Friday,April,2022
697,2023-04-15,Saturday,April,2023
698,2021-08-17,Tuesday,August,2021
699,2019-04-24,Wednesday,April,2019
700,2020-01-13,Monday,January,2020
701,2021-06-21,Monday,June,2021
702,2023-04-24,Monday,April,2023
703,2021-03-29,Monday,March,2021
704,2018-09-21,Friday,September,2018
705,2020-09-30,Wednesday,September,2020
706,2020-11-09,Monday,November,2020
707,2022-09-10,Saturday,September,2022
708,2023-05-23,Tuesday,May,2023
709,2019-02-02,Saturday,February,2019
710,2022-07-17,Sunday,July,2022
711,2019-10-13,Sunday,October,2019
712,2020-02-15,Saturday,February,2020
713,2023-04-05,Wednesday,April,2023
714,2022-06-23,Thursday,June,2022
715,2019-08-20,Tuesday,August,2019
716,2021-07-24,Saturday,July,2021
717,2020-12-21,Monday,December,2020
718,2022-04-08,Friday,April,2022
719,2020-05-18,Monday,May,2020
720,2019-08-16,Friday,August,2019
721,2019-03-22,Friday,March,2019
722,2022-10-03,Monday,October,2022
723,2019-04-01,Monday,April,2019
724,2019-11-09,Saturday,November,2019
725,2021-10-23,Saturday,October,2021
726,2021-08-15,Sunday,August,2021
727,2020-12-10,Thursday,December,2020
728,2022-08-24,Wednesday,August,2022
729,2019-05-27,Monday,May,2019
730,2023-01-15,Sunday,January,2023
731,2019-09-02,Monday,September,2019
732,2021-11-06,Saturday,November,2021
733,2019-05-12,Sunday,May,2019
734,2022-06-01,Wednesday,June,2022
735,2022-11-10,Thursday,November,2022
